Date,Stock,Action,Close
27/08/18,NFLX,Buy,364.58
24/08/18,NFLX,Sell,358.82
24/08/18,META,Buy,174.46
24/08/18,AAPL,Sell,51.62
22/08/18,META,Sell,173.46
21/08/18,NFLX,Buy,338.02
20/08/18,META,Buy,172.32
17/08/18,META,Sell,173.62
13/08/18,NFLX,Sell,341.31
10/08/18,GOOGL,Buy,62.63
08/08/18,GOOGL,Sell,63.07
06/08/18,NFLX,Buy,350.92
02/08/18,AAPL,Buy,49.35
01/08/18,AAPL,Sell,47.95
27/07/18,AAPL,Buy,45.45
27/07/18,GOOGL,Buy,62.64
24/07/18,META,Buy,214.44
24/07/18,AAPL,Sell,45.93
24/07/18,GOOGL,Sell,62.91
20/07/18,META,Sell,209.72
19/07/18,GOOGL,Buy,59.96
19/07/18,META,Buy,207.87
17/07/18,NFLX,Sell,379.48
13/07/18,META,Sell,207.1
11/07/18,GOOGL,Sell,58.57
11/07/18,AAPL,Buy,44.71
10/07/18,META,Buy,203.32
09/07/18,META,Sell,204.52
09/07/18,AAPL,Sell,45.35
25/06/18,META,Buy,196.14
21/06/18,GOOGL,Buy,58.47
21/06/18,AAPL,Buy,44.14
19/06/18,AAPL,Sell,44.19
14/06/18,META,Sell,196.6
14/06/18,GOOGL,Sell,58.01
13/06/18,GOOGL,Buy,57.21
12/06/18,GOOGL,Sell,57.41
08/06/18,AAPL,Buy,45.62
07/06/18,GOOGL,Buy,56.72
06/06/18,META,Buy,191.14
04/06/18,GOOGL,Sell,57.65
01/06/18,AAPL,Sell,45.27
30/05/18,META,Sell,187.47
24/05/18,META,Buy,185.73
23/05/18,META,Sell,186.7
21/05/18,NFLX,Buy,331.82
17/05/18,AAPL,Buy,44.5
16/05/18,NFLX,Sell,328.19
16/05/18,AAPL,Sell,44.78
15/05/18,GOOGL,Buy,54.24
15/05/18,AAPL,Buy,44.37
15/05/18,META,Buy,184.12
09/05/18,GOOGL,Sell,54.45
07/05/18,META,Sell,177.78
03/05/18,META,Buy,173.84
02/05/18,META,Sell,175.88
02/05/18,AAPL,Sell,41.86
30/04/18,META,Buy,171.82
26/04/18,AMZN,Buy,75.9
26/04/18,NFLX,Buy,313.98
26/04/18,META,Sell,173.98
25/04/18,NFLX,Sell,305.76
24/04/18,AMZN,Sell,73.0
20/04/18,AMZN,Buy,76.37
20/04/18,AAPL,Buy,39.29
